metric,statistic,p_value,n_datasets
accuracy,26.892381459776214,0.00034847471253594494,23
macro_f1,35.7427055702918,8.106270320801212e-06,23
auc_roc,34.46409714889126,1.4099864577709897e-05,23
log_loss,40.87897756911837,8.540776929506287e-07,23
brier_score,16.713093375065245,0.01934288425561405,23
ece,17.311945748565527,0.015491730244770081,23
balanced_accuracy,33.83891547049438,1.846217637423644e-05,23
geometric_mean,21.315606936416177,0.0033300657837044027,23
mcc,26.800530503978845,0.0003619802163686504,23
weighted_f1,34.86631299734749,1.1850351515287957e-05,23
